fotograma;tipo_objeto;confianza_deteccion;x1;y1;x2;y2;matrícula_detectada;x1_matrícula;y1_matrícula;x2_matrícula;y2_matrícula;texto_matricula_ocr;tiempo_inferencia_yolo;tiempo_inferencia_easyocr
212;car;0.8894609808921814;285;125;499;289;SÍ;287;125;498;289;E736J3P;0.000136;0.066894
213;car;0.898949921131134;278;126;494;290;NO;280;126;493;290;;0.000093;0.011996
214;car;0.9164802432060242;270;128;488;291;NO;272;128;487;291;;0.000097;0.011809
215;car;0.9412842988967896;263;129;482;293;SÍ;264;129;481;293;ET633P;0.000095;0.036720
216;car;0.9388037919998169;259;130;479;293;SÍ;260;130;478;293;E63P;0.000079;0.026081
217;car;0.9356611371040344;256;130;479;293;SÍ;257;130;478;293;Q6992;0.000085;0.038227
218;car;0.9327500462532043;257;132;481;294;SÍ;259;132;480;294;256932;0.000163;0.041239
219;car;0.9404939413070679;259;129;485;294;SÍ;260;129;484;294;EEUGP;0.000096;0.024370
220;car;0.9075208306312561;264;129;494;295;SÍ;266;129;493;295;ETS6U3P;0.000077;0.035259
221;car;0.9117237329483032;268;128;500;295;SÍ;269;128;499;295;ET6U3P;0.000078;0.038742
222;car;0.8780897855758667;272;125;505;295;SÍ;274;125;504;295;ETS6U3P;0.000080;0.037937
223;car;0.9058786034584045;275;123;510;296;SÍ;275;123;509;296;48992;0.000082;0.042973
224;car;0.9166964888572693;275;121;512;296;SÍ;275;121;511;296;ETJ6GP;0.000079;0.026426
225;car;0.9242144227027893;275;119;516;296;SÍ;275;119;515;296;ET8693P;0.000092;0.023877
226;car;0.9206197261810303;274;117;515;297;SÍ;274;117;514;297;ETB6JIP;0.000077;0.027154
227;car;0.9280581474304199;271;115;516;295;SÍ;271;115;515;295;ET36JIP;0.000090;0.023912
228;car;0.9158573150634766;270;112;517;293;SÍ;270;112;516;293;ET6JJP;0.000080;0.026893
229;car;0.9120379686355591;272;111;521;293;SÍ;272;111;520;293;ETB6J3P;0.000115;0.028515
230;car;0.9120349884033203;406;73;639;198;NO;406;73;638;198;;0.000078;0.009965
231;car;0.9233810305595398;377;72;639;203;NO;377;72;638;200;;0.000087;0.010974
232;car;0.9075782895088196;349;71;639;201;NO;349;71;638;200;;0.000095;0.013537
233;car;0.9181765913963318;324;71;625;200;NO;324;71;625;200;;0.000079;0.013435
234;car;0.9208916425704956;302;75;593;198;NO;302;75;593;198;;0.000090;0.011316
235;car;0.9221163988113403;283;80;562;196;NO;283;80;561;196;;0.000092;0.010833
236;car;0.9065378308296204;264;73;531;193;NO;264;73;530;192;;0.000077;0.010722
237;car;0.909461259841919;248;72;503;190;NO;248;72;502;190;;0.000094;0.009953
238;car;0.913834810256958;233;73;475;189;NO;233;73;475;189;;0.000095;0.009956
239;car;0.9014807939529419;221;74;451;186;NO;221;75;450;186;;0.000108;0.009982
